UniProtKB:Q8TDC3	BRSK1
UniProtKB:Q8N0Z6	TTC5
UniProtKB:P28482	MAPK1
UniProtKB:Q2YD98	UVSSA
UniProtKB:Q8N163	CCAR2
UniProtKB:Q8N140	EID3
UniProtKB:Q8N114	SHISA5
UniProtKB:Q99445	GML
UniProtKB:Q99459	CDC5L
UniProtKB:P43351	RAD52
UniProtKB:Q8IXQ6	PARP9
UniProtKB:P31947	SFN
UniProtKB:P31944	CASP14
UniProtKB:Q99497	PARK7
UniProtKB:Q8IXT1	DDIAS
UniProtKB:O00409	FOXN3
UniProtKB:P13010	XRCC5
UniProtKB:Q7Z589	EMSY
UniProtKB:P16455	MGMT
UniProtKB:P23246	SFPQ
UniProtKB:Q00597	FANCC
UniProtKB:Q2TB18	ASTE1
UniProtKB:Q00526	CDK3
UniProtKB:Q13769	THOC5
UniProtKB:Q2TAK8	MUM1
UniProtKB:Q70EL4	USP43
UniProtKB:Q70EL2	USP45
UniProtKB:Q70EK9	USP51
UniProtKB:P28715	ERCC5
UniProtKB:Q1ZZU3	SWI5
UniProtKB:P55072	VCP
UniProtKB:P43681	CHRNA4
UniProtKB:Q9UNS1	TIMELESS
UniProtKB:A5YKK6	CNOT1
UniProtKB:P45973	CBX5
UniProtKB:Q9C0J8	WDR33
UniProtKB:P25490	YY1
UniProtKB:P50613	CDK7
UniProtKB:Q14191	WRN
UniProtKB:Q6P1K8	GTF2H2C
UniProtKB:Q14188	TFDP2
UniProtKB:Q14186	TFDP1
UniProtKB:Q29983	MICA
UniProtKB:Q9NRG4	SMYD2
UniProtKB:Q14159	SPIDR
UniProtKB:O60870	KIN
UniProtKB:Q09472	EP300
UniProtKB:P35659	DEK
UniProtKB:P35638	DDIT3
UniProtKB:Q9NS91	RAD18
UniProtKB:P62979	RPS27A
UniProtKB:Q99627	COPS8
UniProtKB:Q99638	RAD9A
UniProtKB:Q8WTS6	SETD7
UniProtKB:Q92934	BAD
UniProtKB:P31749	AKT1
UniProtKB:O76064	RNF8
UniProtKB:Q8WXE1	ATRIP
UniProtKB:P14635	CCNB1
UniProtKB:Q53HV7	SMUG1
UniProtKB:Q9Y5B9	SUPT16H
UniProtKB:P46063	RECQL
UniProtKB:P25106	ACKR3
UniProtKB:O14757	CHEK1
UniProtKB:P50238	CRIP1
UniProtKB:P13693	TPT1
UniProtKB:Q96PY6	NEK1
UniProtKB:P25054	APC
UniProtKB:Q9UL54	TAOK2
UniProtKB:Q9BT78	COPS4
UniProtKB:Q7L3S4	ZNF771
UniProtKB:Q99728	BARD1
UniProtKB:P38398	BRCA1
UniProtKB:Q9Y5J5	PHLDA3
UniProtKB:Q5TBB1	RNASEH2B
UniProtKB:P53350	PLK1
UniProtKB:Q71UM5	RPS27L
UniProtKB:Q15672	TWIST1
UniProtKB:Q15645	TRIP13
UniProtKB:Q99801	NKX3-1
UniProtKB:Q53H47	SETMAR
UniProtKB:Q13569	TDG
UniProtKB:O75943	RAD17
UniProtKB:P17844	DDX5
UniProtKB:Q96K76	USP47
UniProtKB:Q9BW85	YJU2
UniProtKB:P32780	GTF2H1
UniProtKB:P33993	MCM7
UniProtKB:Q9UM63	PLAGL1
UniProtKB:Q9UM54	MYO6
UniProtKB:O43313	ATMIN
UniProtKB:Q9ULR0	ISY1
UniProtKB:Q9UM11	FZR1
UniProtKB:B2RXF5	ZBTB42
UniProtKB:P49674	CSNK1E
UniProtKB:Q9ULM6	CNOT6
UniProtKB:Q9ULG1	INO80
UniProtKB:Q9NTI5	PDS5B
UniProtKB:Q9ULC4	MCTS1
UniProtKB:O75807	PPP1R15A
UniProtKB:Q96MG7	NSMCE3
UniProtKB:Q96MF7	NSMCE2
UniProtKB:P49959	MRE11
UniProtKB:Q9NRF9	POLE3
UniProtKB:P49917	LIG4
UniProtKB:O60356	NUPR1
UniProtKB:Q96AP0	ACD
UniProtKB:Q96M94	KLHL15
UniProtKB:O60341	KDM1A
UniProtKB:Q96LW4	PRIMPOL
UniProtKB:Q06787	FMR1
UniProtKB:O60306	AQR
UniProtKB:Q08050	FOXM1
UniProtKB:Q96LR5	UBE2E2
UniProtKB:Q9C0C2	TNKS1BP1
UniProtKB:Q9C0B1	FTO
UniProtKB:Q96LI5	CNOT6L
UniProtKB:Q9H611	PIF1
UniProtKB:Q9NQR1	KMT5A
UniProtKB:Q9UNP9	PPIE
UniProtKB:Q9H5J0	ZBTB3
UniProtKB:Q9C086	INO80B
UniProtKB:Q96LA8	PRMT6
UniProtKB:P22681	CBL
UniProtKB:Q96AY2	EME1
UniProtKB:Q96FI4	NEIL1
UniProtKB:Q9P2Y5	UVRAG
UniProtKB:Q96FF9	CDCA5
UniProtKB:Q96FC9	DDX11
UniProtKB:P42575	CASP2
UniProtKB:O95997	PTTG1
UniProtKB:Q9UHN1	POLG2
UniProtKB:Q8NHY5	HUS1B
UniProtKB:Q9UFF9	CNOT8
UniProtKB:Q96EZ8	MCRS1
UniProtKB:P10636	MAPT
UniProtKB:O95926	SYF2
UniProtKB:Q8NHS9	SPATA22
UniProtKB:Q9UHD4	CIDEB
UniProtKB:Q9UHC1	MLH3
UniProtKB:O75663	TIPRL
UniProtKB:O75419	CDC45
UniProtKB:O75417	POLQ
UniProtKB:P0C2W1	FBXO45
UniProtKB:O43502	RAD51C
UniProtKB:P52701	MSH6
UniProtKB:Q52LR7	EPC2
UniProtKB:Q96I25	RBM17
UniProtKB:O43822	C21orf2
UniProtKB:Q9Y253	POLH
UniProtKB:P30876	POLR2B
UniProtKB:Q9Y265	RUVBL1
UniProtKB:Q16594	TAF9
UniProtKB:Q9UBW8	COPS7A
UniProtKB:Q6P6C2	ALKBH5
UniProtKB:Q9UBZ4	APEX2
UniProtKB:P12004	PCNA
UniProtKB:O43521	BCL2L11
UniProtKB:O43524	FOXO3
UniProtKB:Q16548	BCL2A1
UniProtKB:Q16539	MAPK14
UniProtKB:Q16531	DDB1
UniProtKB:O43542	XRCC3
UniProtKB:O43543	XRCC2
UniProtKB:Q16526	CRY1
UniProtKB:Q16520	BATF
UniProtKB:P54132	BLM
UniProtKB:P49459	UBE2A
UniProtKB:Q9H1E3	NUCKS1
UniProtKB:O43781	DYRK3
UniProtKB:Q9H7T9	AUNIP
UniProtKB:Q9BQA5	HINFP
UniProtKB:P19388	POLR2E
UniProtKB:Q9NSU2	TREX1
UniProtKB:P07992	ERCC1
UniProtKB:Q9UQ84	EXO1
UniProtKB:Q9UPV0	CEP164
UniProtKB:P07948	LYN
UniProtKB:Q9NRD1	FBXO6
UniProtKB:Q6ZNX1	SHLD3
UniProtKB:Q96NB3	ZNF830
UniProtKB:Q9BQ50	TREX2
UniProtKB:P54727	RAD23B
UniProtKB:P29590	PML
UniProtKB:Q9BQ15	NABP2
UniProtKB:Q9H6Z9	EGLN3
UniProtKB:Q6PCD5	RFWD3
UniProtKB:Q6Y7W6	GIGYF2
UniProtKB:Q14164	IKBKE
UniProtKB:Q9H790	EXO5
UniProtKB:Q9NRY2	INIP
UniProtKB:O95714	HERC2
UniProtKB:O95744	PMS2P2
UniProtKB:P27986	PIK3R1
UniProtKB:Q9UKZ1	CNOT11
UniProtKB:Q16695	HIST3H3
UniProtKB:Q9UKT5	FBXO4
UniProtKB:Q16666	IFI16
UniProtKB:P54278	PMS2
UniProtKB:P54277	PMS1
UniProtKB:P54252	ATXN3
UniProtKB:Q16611	BAK1
UniProtKB:O43463	SUV39H1
UniProtKB:O43464	HTRA2
UniProtKB:Q9UKK3	PARP4
UniProtKB:Q9UKI8	TLK1
UniProtKB:O75771	RAD51D
UniProtKB:P22314	UBA1
UniProtKB:P10909	CLU
UniProtKB:O60285	NUAK1
UniProtKB:P29372	MPG
UniProtKB:Q9UNE7	STUB1
UniProtKB:P29317	EPHA2
UniProtKB:O60216	RAD21
UniProtKB:Q9BQ83	SLX1A
UniProtKB:Q5JXB2	UBE2NL
UniProtKB:Q9H4X1	RGCC
UniProtKB:Q06609	RAD51
UniProtKB:Q9NQ88	TIGAR
UniProtKB:Q9UMX3	BOK
UniProtKB:Q01094	E2F1
UniProtKB:P20333	TNFRSF1B
UniProtKB:Q9H4L7	SMARCAD1
UniProtKB:R4GMW8	BIVM-ERCC5
UniProtKB:Q9H4I0	RAD21L1
UniProtKB:Q9NPI8	FANCF
UniProtKB:Q9UJA3	MCM8
UniProtKB:Q5VVX9	UBE2U
UniProtKB:O43715	TRIAP1
UniProtKB:P52926	HMGA2
UniProtKB:Q9UIV1	CNOT7
UniProtKB:A4GXA9	EME2
UniProtKB:P00533	EGFR
UniProtKB:Q19AV6	ZSWIM7
UniProtKB:Q96B01	RAD51AP1
UniProtKB:P00519	ABL1
UniProtKB:P20749	BCL3
UniProtKB:Q96AV8	E2F7
UniProtKB:P35251	RFC1
UniProtKB:P35250	RFC2
UniProtKB:P35249	RFC4
UniProtKB:O14647	CHD2
UniProtKB:P35244	RPA3
UniProtKB:Q92466	DDB2
UniProtKB:Q01726	MC1R
UniProtKB:Q9NW82	WDR70
UniProtKB:Q07864	POLE
UniProtKB:Q07820	MCL1
UniProtKB:Q07817	BCL2L1
UniProtKB:Q07812	BAX
UniProtKB:Q9BTK6	PAGR1
UniProtKB:Q53TQ3	INO80D
UniProtKB:Q9HB65	ELL3
UniProtKB:Q9HB96	FANCE
UniProtKB:Q96MT8	CEP63
UniProtKB:Q9NVH2	INTS7
UniProtKB:Q9BQ69	MACROD1
UniProtKB:Q9UIG0	BAZ1B
UniProtKB:Q9UIF7	MUTYH
UniProtKB:Q96FV9	THOC1
UniProtKB:O43623	SNAI2
UniProtKB:Q06124	PTPN11
UniProtKB:Q96BF6	NACC2
UniProtKB:P27695	APEX1
UniProtKB:P27694	RPA1
UniProtKB:Q9H040	SPRTN
UniProtKB:Q9BSD3	RHNO1
UniProtKB:O15062	ZBTB5
UniProtKB:Q96PM9	ZNF385A
UniProtKB:Q96PM5	RCHY1
UniProtKB:Q9NUW8	TDP1
UniProtKB:Q96PK6	RBM14
UniProtKB:Q9H9Q4	NHEJ1
UniProtKB:Q9H9Q2	COPS7B
UniProtKB:Q9NUS5	AP5S1
UniProtKB:Q6WBX8	RAD9B
UniProtKB:O94782	USP1
UniProtKB:P48061	CXCL12
UniProtKB:Q9HCU8	POLD4
UniProtKB:O00255	MEN1
UniProtKB:Q9HCS7	XAB2
UniProtKB:Q92698	RAD54L
UniProtKB:P36639	NUDT1
UniProtKB:Q9HD36	BCL2L10
UniProtKB:O00213	APBB1
UniProtKB:P01375	TNF
UniProtKB:Q15327	ANKRD1
UniProtKB:P06748	NPM1
UniProtKB:P53567	CEBPG
UniProtKB:P21675	TAF1
UniProtKB:P28360	MSX1
UniProtKB:P23193	TCEA1
UniProtKB:Q9UK73	FEM1B
UniProtKB:Q9HB09	BCL2L12
UniProtKB:P38935	IGHMBP2
UniProtKB:Q8N3C0	ASCC3
UniProtKB:Q9HB75	PIDD1
UniProtKB:Q7L9B9	EEPD1
UniProtKB:O15527	OGG1
UniProtKB:O15520	FGF10
UniProtKB:O15516	CLOCK
UniProtKB:O15514	POLR2D
UniProtKB:Q6NSI4	RADX
UniProtKB:Q13469	NFATC2
UniProtKB:Q9BUR4	WRAP53
UniProtKB:Q9NP87	POLM
UniProtKB:P46100	ATRX
UniProtKB:P61088	UBE2N
UniProtKB:Q6KC79	NIPBL
UniProtKB:P61077	UBE2D3
UniProtKB:O60934	NBN
UniProtKB:O60921	HUS1
